date,capital
2024-04-25,1197241.0152890366
2024-04-25,1197687.1769237376
2024-04-25,1195418.6362957314
2024-04-25,1195230.095469523
2024-04-25,1191915.8074748483
2024-04-25,1184699.6774748324
2024-04-25,1185135.0819815488
2024-04-25,1186339.1875128625
2024-04-25,1186775.1945774027
2024-04-25,1188172.4970286484
2024-04-25,1184076.7618880158
2024-05-30,1181249.4235983985
2024-05-30,1181472.1243366888
2024-05-30,1180023.863278956
2024-05-30,1184481.9133594194
2024-05-30,1184170.8431768501
2024-05-30,1188026.058019853
2024-05-30,1187374.167765829
2024-05-30,1185653.8779428652
2024-05-30,1191330.002530643
2024-05-30,1191100.15769421
2024-05-30,1188191.3902476726
2024-05-30,1189650.502749764
2024-05-30,1189057.0649182359
2024-05-30,1183376.859870833
2024-05-30,1182939.3372287117
2024-05-30,1181834.6538959933
2024-05-30,1183364.8544464412
2024-05-30,1188500.484786699
2024-05-30,1190210.200411853
2024-05-30,1195199.1696703834
2024-05-30,1197183.3071487679
2024-05-30,1204055.4459513414
2024-05-30,1202115.785343026
2024-05-30,1201400.6074554913
2024-05-30,1204387.408812029
2024-05-30,1201106.923635545
2024-05-30,1199083.9022302288
2024-05-30,1202600.6343354117
2024-05-30,1206087.981366329
2024-05-30,1210024.2825369278
2024-05-30,1211615.8362464677
2024-05-30,1210183.064851168
2024-05-30,1209706.3350725034
2024-05-30,1205050.067350319
2024-05-30,1211247.7877851874
2024-05-30,1218098.4775176914
2024-05-30,1214737.754986161
2024-05-30,1211907.6017703891
2024-05-30,1209935.7331524827
2024-05-30,1209060.5758080687
2024-05-30,1207990.0373976468
2024-05-30,1212876.302640049
2024-05-30,1216790.271776092
2024-05-30,1215900.3377520898
2024-05-30,1218254.2176127818
2024-05-30,1216490.081883878
2024-05-30,1217156.6984438605
2024-05-30,1214845.9232892843
2024-05-30,1216834.1581983531
2024-05-30,1215550.5360490733
2024-05-30,1220128.5362498183
2024-05-30,1217934.742374892
2024-05-30,1216167.4954676295
2024-05-30,1214806.9590866454
2024-05-30,1219499.791548111
2024-05-30,1221433.915681248
2024-05-30,1217400.0411168383
2024-05-30,1216587.3572688636
2024-05-30,1216209.8454174323
2024-05-30,1213761.6868387172
2024-05-30,1223149.0702228488
2024-05-30,1227648.912075694
2024-05-30,1227708.3501927194
2024-05-30,1231771.9527459207
2024-05-30,1231566.835067638
2024-05-30,1234512.08740406
2024-05-30,1231906.641069073
2024-05-30,1241763.30691086
2024-05-30,1239831.2210824206
2024-05-30,1237950.3456807653
2024-05-30,1236652.621556528
2024-05-30,1233162.690619853
2024-05-30,1229938.616660148
2024-05-30,1231469.747145545
2024-05-30,1230990.9555254504
2024-05-30,1237880.1651684165
2024-05-30,1240708.843600274
2024-05-30,1276336.9794080062
2024-05-30,1274219.082205412
2024-05-30,1272844.0790297135
2024-05-30,1281194.4421470668
2024-05-30,1284248.0388725437
2024-05-30,1280775.4676175711
2024-05-30,1278970.5919538883
2024-06-07,1274436.4063256797
2024-06-18,1277216.9952191287
2024-06-18,1276239.5861535908
2024-06-18,1280536.8949447253
2024-06-27,1278226.032328459
2024-06-27,1279979.493642059
2024-06-27,1274031.1430859836
2024-06-27,1274926.4923422497
2024-06-27,1275858.9459375443
2024-06-27,1273967.4043224186
2024-06-27,1273839.370176924
2024-06-27,1278435.9881811836
2024-06-27,1277093.94791885
2024-06-27,1282054.5653511712
2024-06-27,1281014.3852045638
2024-06-27,1272150.8959474918
2024-06-27,1270862.1146336761
2024-06-27,1272612.0001225567
2024-06-27,1276036.3037426888
2024-06-27,1277088.4503654728
2024-06-27,1275836.824990509
2024-06-27,1276339.4178831512
2024-06-27,1276210.2090536433
2024-06-27,1277687.534359633
2024-06-27,1277165.4667171137
2024-06-27,1279735.3884590887
2024-06-27,1283849.15343879
2024-06-27,1283149.3924347023
2024-06-27,1283821.4745804868
2024-06-27,1273639.8418526745
2024-06-27,1274000.4876409096
2024-06-27,1274298.618685077
2024-06-27,1275274.5486097785
2024-06-27,1266413.3533694544
2024-06-27,1265455.5396127938
2024-06-27,1263520.009758228
2024-06-27,1264031.6540410365
2024-06-27,1268325.828204409
2024-06-27,1267771.2995148003
2024-06-27,1268777.5708474638
2024-06-27,1266958.8879787477
2024-06-27,1267582.5251120878
2024-06-27,1268459.3944013575
2024-06-27,1260118.255737928
2024-06-27,1261189.6311205328
2024-06-27,1261363.56539288
2024-06-27,1261244.2004165205
2024-06-27,1265213.4042148483
2024-06-27,1264730.7745060455
2024-06-27,1265987.9164173512
2024-06-27,1265180.8741870234
2024-06-27,1265228.2078068175
2024-06-27,1265940.0949566187
2024-06-27,1265332.7466467326
2024-06-27,1268572.2400394531
2024-06-27,1269526.1030171337
2024-06-27,1269530.7595059383
2024-06-27,1272087.1812362855
2024-06-27,1280565.089868269
2024-06-27,1279161.6326469495
2024-06-27,1278367.7748555867
2024-06-27,1277622.2367137624
2024-06-27,1266811.2088989199
2024-06-27,1263084.691151434
2024-06-27,1268184.5460597205
2024-06-27,1267796.6052790037
2024-06-27,1266145.803737282
2024-06-27,1266827.5561816897
2024-06-27,1266837.7786814878
2024-06-27,1267749.4471563795
2024-06-27,1266761.7930575113
2024-06-27,1266004.4380718828
2024-06-27,1267302.7807209652
2024-06-27,1268938.994250661
2024-06-27,1271890.7737303087
2024-06-27,1255966.7091823113
2024-06-27,1256337.0922334872
2024-06-27,1254991.5232684081
2024-06-27,1257236.9532470773
2024-06-27,1257934.1989667765
2024-06-27,1259974.4969051064
2024-06-27,1252810.3181182123
2024-06-27,1250347.3032162145
2024-06-27,1253108.1612873003
2024-06-27,1252498.6959498075
2024-06-27,1259629.555615387
2024-06-27,1265182.099122152
2024-06-27,1265542.2062253163
2024-06-27,1270397.6088228717
2024-07-25,1269950.2790248003
2024-07-25,1273510.8883458741
2024-07-25,1287853.982068772
2024-07-25,1288982.9496061846
2024-07-25,1291599.344275618
2024-07-25,1288084.155528232
